Run,Seed,BestFitness
1,0,-257733.9748249539
2,1,-257690.64473352814
3,2,-256448.12734963352
4,3,-256448.12734963352
5,4,-256656.73975103654
6,5,-257690.64473352814
7,6,-256448.12734963352
8,7,-256448.12734963352
9,8,-256448.12734963352
10,9,-254636.83357354565
