Run,BestFitness
1,-259664.6026862674
2,-260393.937380969
3,-260393.937380969
4,-228319.43240151738
5,-259664.6026862674
6,-259664.6026862674
7,-228319.43240151738
8,-228319.43240151738
9,-228319.43240151738
10,-228319.43240151738
