Run,BestFitness
1,-259637.04878289875
2,-259664.6026862674
3,-260332.67043805117
4,-228319.43240151738
5,-260393.937380969
6,-260450.34182904375
7,-259664.6026862674
8,-228319.43240151738
9,-228319.43240151738
10,-259637.04878289875
