Run,Seed,BestFitness
1,0,-256656.73975103654
2,1,-256112.17258766363
3,2,-256448.12734963352
4,3,-256448.12734963352
5,4,-254429.74442223448
6,5,-254429.74442223448
7,6,-254429.74442223448
8,7,-256448.12734963352
9,8,-254429.74442223448
10,9,-256448.12734963352
